urn,group,author,title
urn:cts:ancJewLit:hebBible.job,urn:cts:ancJewLit:hebBible,Hebrew Bible,Job
urn:cts:ancJewLit:hebBible.joel,urn:cts:ancJewLit:hebBible,Hebrew Bible,Joel
urn:cts:ancJewLit:hebBible.jonah,urn:cts:ancJewLit:hebBible,Hebrew Bible,Jonah
urn:cts:ancJewLit:hebBible.joshua,urn:cts:ancJewLit:hebBible,Hebrew Bible,Joshua
urn:cts:ancJewLit:hebBible.judges,urn:cts:ancJewLit:hebBible,Hebrew Bible,Judges
urn:cts:ancJewLit:hebBible.kings_1,urn:cts:ancJewLit:hebBible,Hebrew Bible,Kings_1
urn:cts:ancJewLit:hebBible.kings_2,urn:cts:ancJewLit:hebBible,Hebrew Bible,Kings_2
urn:cts:ancJewLit:hebBible.lamentations,urn:cts:ancJewLit:hebBible,Hebrew Bible,Lamentations
urn:cts:ancJewLit:hebBible.leviticus,urn:cts:ancJewLit:hebBible,Hebrew Bible,Leviticus
urn:cts:ancJewLit:hebBible.malachi,urn:cts:ancJewLit:hebBible,Hebrew Bible,Malachi
urn:cts:ancJewLit:hebBible.micah,urn:cts:ancJewLit:hebBible,Hebrew Bible,Micah
urn:cts:ancJewLit:hebBible.nahum,urn:cts:ancJewLit:hebBible,Hebrew Bible,Nahum
urn:cts:ancJewLit:hebBible.nehemiah,urn:cts:ancJewLit:hebBible,Hebrew Bible,Nehemiah
urn:cts:ancJewLit:hebBible.numbers,urn:cts:ancJewLit:hebBible,Hebrew Bible,Numbers
urn:cts:ancJewLit:hebBible.obadiah,urn:cts:ancJewLit:hebBible,Hebrew Bible,Obadiah
urn:cts:ancJewLit:hebBible.proverbs,urn:cts:ancJewLit:hebBible,Hebrew Bible,Proverbs
urn:cts:ancJewLit:hebBible.psalms,urn:cts:ancJewLit:hebBible,Hebrew Bible,Psalms
urn:cts:ancJewLit:hebBible.ruth,urn:cts:ancJewLit:hebBible,Hebrew Bible,Ruth
urn:cts:ancJewLit:hebBible.samuel_1,urn:cts:ancJewLit:hebBible,Hebrew Bible,Samuel_1
urn:cts:ancJewLit:hebBible.samuel_2,urn:cts:ancJewLit:hebBible,Hebrew Bible,Samuel_2
urn:cts:ancJewLit:hebBible.song_of_songs,urn:cts:ancJewLit:hebBible,Hebrew Bible,Song_of_Songs
urn:cts:ancJewLit:hebBible.zechariah,urn:cts:ancJewLit:hebBible,Hebrew Bible,Zechariah
urn:cts:ancJewLit:hebBible.zephaniah,urn:cts:ancJewLit:hebBible,Hebrew Bible,Zephaniah
urn:cts:ancJewLit:mishnah.arakhin,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Arakhin
urn:cts:ancJewLit:mishnah.avodah_zarah,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Avodah Zarah
urn:cts:ancJewLit:mishnah.avot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Avot
urn:cts:ancJewLit:mishnah.baba_batra,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Baba Batra
urn:cts:ancJewLit:mishnah.bava_metsia,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Bava Metsia
urn:cts:ancJewLit:mishnah.bava_qamma,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Bava Qamma
urn:cts:ancJewLit:mishnah.bekhorot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Bekhorot
urn:cts:ancJewLit:mishnah.berakhot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Berakhot
urn:cts:ancJewLit:mishnah.besah,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Besah
urn:cts:ancJewLit:mishnah.bikkurim,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Bikkurim
urn:cts:ancJewLit:mishnah.demai,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Demai
urn:cts:ancJewLit:mishnah.eduyot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Eduyot
urn:cts:ancJewLit:mishnah.eruvin,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Eruvin
urn:cts:ancJewLit:mishnah.gitin,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Gitin
urn:cts:ancJewLit:mishnah.hagigah,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Hagigah
urn:cts:ancJewLit:mishnah.hallah,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Hallah
urn:cts:ancJewLit:mishnah.horayot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Horayot
urn:cts:ancJewLit:mishnah.hulin,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Hulin
urn:cts:ancJewLit:mishnah.kelim,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Kelim
urn:cts:ancJewLit:mishnah.keritot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Keritot
urn:cts:ancJewLit:mishnah.ketubot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Ketubot
urn:cts:ancJewLit:mishnah.kilayim,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Kilayim
urn:cts:ancJewLit:mishnah.maaserot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Maaserot
urn:cts:ancJewLit:mishnah.maasersheni,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Maaser heni
urn:cts:ancJewLit:mishnah.makhshirin,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Makhshirin
urn:cts:ancJewLit:mishnah.makkot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Makkot
urn:cts:ancJewLit:mishnah.megillah,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Megillah
urn:cts:ancJewLit:mishnah.meilah,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Meilah
urn:cts:ancJewLit:mishnah.menahot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Menahot
urn:cts:ancJewLit:mishnah.middot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Middot
urn:cts:ancJewLit:mishnah.miqvaot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Miqvaot
urn:cts:ancJewLit:mishnah.moed_qatan,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Moed Qatan
urn:cts:ancJewLit:mishnah.nazir,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Nazir
urn:cts:ancJewLit:mishnah.nedarim,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Nedarim
urn:cts:ancJewLit:mishnah.negaim,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Negaim
urn:cts:ancJewLit:mishnah.niddah,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Niddah
urn:cts:ancJewLit:mishnah.ohalot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Ohalot
urn:cts:ancJewLit:mishnah.orla,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Orla
urn:cts:ancJewLit:mishnah.parah,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Parah
urn:cts:ancJewLit:mishnah.peah,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Peah
urn:cts:ancJewLit:mishnah.pesahim,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Pesahim
urn:cts:ancJewLit:mishnah.qiddushin,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Qiddushin
urn:cts:ancJewLit:mishnah.qinnim,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Qinnim
urn:cts:ancJewLit:mishnah.rosh_hashanah,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Rosh Hashanah
urn:cts:ancJewLit:mishnah.sanhedrin,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Sanhedrin
urn:cts:ancJewLit:mishnah.shabbat,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Shabbat
urn:cts:ancJewLit:mishnah.sheqalim,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Sheqalim
urn:cts:ancJewLit:mishnah.sheviit,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Sheviit
urn:cts:ancJewLit:mishnah.shevuot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Shevuot
urn:cts:ancJewLit:mishnah.sotah,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Sotah
urn:cts:ancJewLit:mishnah.sukkah,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Sukkah
urn:cts:ancJewLit:mishnah.taanit,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Taanit
urn:cts:ancJewLit:mishnah.tamid,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Tamid
urn:cts:ancJewLit:mishnah.temurah,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Temurah
urn:cts:ancJewLit:mishnah.terumot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Terumot
urn:cts:ancJewLit:mishnah.tevulyom,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Tevul om
urn:cts:ancJewLit:mishnah.toharot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Toharot
urn:cts:ancJewLit:mishnah.uqtsim,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Uqtsim
urn:cts:ancJewLit:mishnah.yadayim,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Yadayim
urn:cts:ancJewLit:mishnah.yebamot,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Yebamot
urn:cts:ancJewLit:mishnah.yoma,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Yoma
urn:cts:ancJewLit:mishnah.zabim,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Zabim
urn:cts:ancJewLit:mishnah.zevahim,urn:cts:ancJewLit:mishnah,Mishnah,Mishnah Tractate Zevahim
urn:cts:engLit:james1.apology,urn:cts:engLit:james1,James I,"The Triplici Nodo, Triplex Cuneus. Or An Apologie For The Oath Of Allegiance."
urn:cts:engLit:james1.basilikon,urn:cts:engLit:james1,James I,Basilikon Doron
urn:cts:engLit:james1.defence,urn:cts:engLit:james1,James I,"A Remonstrance For The Right Of Kings, And The Independance Of Their Crownes."
urn:cts:engLit:james1.premonition,urn:cts:engLit:james1,James I,"A Premonition To All Most Mightie Monarches, Kings, Free Princes, And States Of Christendome."
urn:cts:engLit:james1.speech1603,urn:cts:engLit:james1,James I,"A Speach, As It Was Delivered In The Vpper Hovse Of The Parliament To The Lords Spiritvall And Temporall, And To The Knights, Citizens And Burgesses There Assembled,"
urn:cts:engLit:james1.speech1605,urn:cts:engLit:james1,James I,"A Speach In The Parliament Hovse, As Neere The Very Words As Covld Be Gathered At The Instant."
urn:cts:engLit:james1.speech1607,urn:cts:engLit:james1,James I,"A Speach To Both The Hovses Of Parliament, Delivered In The Great Chamber At White-Hall, The Last Day Of March 1607."
urn:cts:engLit:james1.speech1609,urn:cts:engLit:james1,James I,"A Speach To The Lords And Commons Of The Parliament At White-Hall, On Wednesday The Xxi. Of March. Anno 1609."
urn:cts:engLit:james1.speech1616,urn:cts:engLit:james1,James I,"A Speach In The Starre-Chamber, The XX. Of Jvne. Anno 1616."
urn:cts:engLit:james1.trewlaw,urn:cts:engLit:james1,James I,"The Trew Law Of Free Monarchies: Or The Reciprock And Mvtvall Dvetie Betwixt A Free King, And His Naturall Subjects."
urn:cts:engLit:sidney.defence,urn:cts:engLit:sidney,Sir Philip Sidney,Defence of Poesie
urn:cts:farsiLit:hafez.divan,urn:cts:farsiLit:hafez,Hafez,Divān
urn:cts:greekLit:ggm0001.ggm001,urn:cts:greekLit:ggm0001,Anonymous,Anametresis Pontou
urn:cts:greekLit:ogl0001.ogl001,urn:cts:greekLit:ogl0001,"Pinytus, Saint, Bishop of Knossos",De Epistola Pinyti ad Dionysium
urn:cts:greekLit:stoa0033a.tlg028,urn:cts:greekLit:stoa0033a,Pseudo-Aristotle,De mundo
urn:cts:greekLit:stoa0033a.tlg043,urn:cts:greekLit:stoa0033a,Pseudo-Aristotle,De spiritu
urn:cts:greekLit:stoa0121.stoa001,urn:cts:greekLit:stoa0121,Eutropius,Breviarium historiae romanae
urn:cts:greekLit:stoa0146d.stoa001,urn:cts:greekLit:stoa0146d,Hegemonius,Acta Archelai
urn:cts:greekLit:tlg0001.tlg001,urn:cts:greekLit:tlg0001,Apollonius Rhodius,Argonautica
urn:cts:greekLit:tlg0003.tlg001,urn:cts:greekLit:tlg0003,Thucydides,History of the Peloponnesian War
urn:cts:greekLit:tlg0004.tlg001,urn:cts:greekLit:tlg0004,Diogenes Laertius,Vitae philosophorum
urn:cts:greekLit:tlg0005.tlg001,urn:cts:greekLit:tlg0005,Theocritus,Εἰδύλλια
urn:cts:greekLit:tlg0005.tlg002,urn:cts:greekLit:tlg0005,Theocritus,Ἐπιγράμματα
urn:cts:greekLit:tlg0005.tlg003,urn:cts:greekLit:tlg0005,Theocritus,Syrinx
urn:cts:greekLit:tlg0006.tlg001,urn:cts:greekLit:tlg0006,Euripides,Cyclops
urn:cts:greekLit:tlg0006.tlg002,urn:cts:greekLit:tlg0006,Euripides,Alcestis
urn:cts:greekLit:tlg0006.tlg003,urn:cts:greekLit:tlg0006,Euripides,Medea
urn:cts:greekLit:tlg0006.tlg004,urn:cts:greekLit:tlg0006,Euripides,Heracleidae
urn:cts:greekLit:tlg0006.tlg005,urn:cts:greekLit:tlg0006,Euripides,Hippolytus
urn:cts:greekLit:tlg0006.tlg006,urn:cts:greekLit:tlg0006,Euripides,Andromache
urn:cts:greekLit:tlg0006.tlg007,urn:cts:greekLit:tlg0006,Euripides,Hecuba
urn:cts:greekLit:tlg0006.tlg008,urn:cts:greekLit:tlg0006,Euripides,Suppliants
urn:cts:greekLit:tlg0006.tlg009,urn:cts:greekLit:tlg0006,Euripides,Heracles
urn:cts:greekLit:tlg0006.tlg010,urn:cts:greekLit:tlg0006,Euripides,Ion
urn:cts:greekLit:tlg0006.tlg011,urn:cts:greekLit:tlg0006,Euripides,The Trojan Women
urn:cts:greekLit:tlg0006.tlg012,urn:cts:greekLit:tlg0006,Euripides,Electra
urn:cts:greekLit:tlg0006.tlg013,urn:cts:greekLit:tlg0006,Euripides,Iphigenia in Tauris
urn:cts:greekLit:tlg0006.tlg014,urn:cts:greekLit:tlg0006,Euripides,Helen
urn:cts:greekLit:tlg0006.tlg015,urn:cts:greekLit:tlg0006,Euripides,The Phoenician Women
urn:cts:greekLit:tlg0006.tlg016,urn:cts:greekLit:tlg0006,Euripides,Orestes
urn:cts:greekLit:tlg0006.tlg017,urn:cts:greekLit:tlg0006,Euripides,Bacchae
urn:cts:greekLit:tlg0006.tlg018,urn:cts:greekLit:tlg0006,Euripides,Iphigenia in Aulis
urn:cts:greekLit:tlg0006.tlg019,urn:cts:greekLit:tlg0006,Euripides,Rhesus
urn:cts:greekLit:tlg0006.tlg020,urn:cts:greekLit:tlg0006,Euripides,Fragmenta
urn:cts:greekLit:tlg0007.tlg001,urn:cts:greekLit:tlg0007,Plutarch,Theseus
urn:cts:greekLit:tlg0007.tlg002,urn:cts:greekLit:tlg0007,Plutarch,Romulus
urn:cts:greekLit:tlg0007.tlg003,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Theseus and Romulus
urn:cts:greekLit:tlg0007.tlg004,urn:cts:greekLit:tlg0007,Plutarch,Lycurgus
urn:cts:greekLit:tlg0007.tlg005,urn:cts:greekLit:tlg0007,Plutarch,Numa
urn:cts:greekLit:tlg0007.tlg006,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Lycurgus and Numa
urn:cts:greekLit:tlg0007.tlg007,urn:cts:greekLit:tlg0007,Plutarch,Solon
urn:cts:greekLit:tlg0007.tlg008,urn:cts:greekLit:tlg0007,Plutarch,Publicola
urn:cts:greekLit:tlg0007.tlg009,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Solon and Publicola
urn:cts:greekLit:tlg0007.tlg010,urn:cts:greekLit:tlg0007,Plutarch,Themistocles
urn:cts:greekLit:tlg0007.tlg011,urn:cts:greekLit:tlg0007,Plutarch,Camillus
urn:cts:greekLit:tlg0007.tlg012,urn:cts:greekLit:tlg0007,Plutarch,Pericles
urn:cts:greekLit:tlg0007.tlg013,urn:cts:greekLit:tlg0007,Plutarch,Fabius Maximus
urn:cts:greekLit:tlg0007.tlg014,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Pericles and Fabius Maximus
urn:cts:greekLit:tlg0007.tlg015,urn:cts:greekLit:tlg0007,Plutarch,Alcibiades
urn:cts:greekLit:tlg0007.tlg016,urn:cts:greekLit:tlg0007,Plutarch,Caius Marcius Coriolanus
urn:cts:greekLit:tlg0007.tlg017,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Alcibiades and Coriolanus
urn:cts:greekLit:tlg0007.tlg018,urn:cts:greekLit:tlg0007,Plutarch,Timoleon
urn:cts:greekLit:tlg0007.tlg019,urn:cts:greekLit:tlg0007,Plutarch,Aemilius Paulus
urn:cts:greekLit:tlg0007.tlg020,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Timoleon and Aemilius
urn:cts:greekLit:tlg0007.tlg021,urn:cts:greekLit:tlg0007,Plutarch,Pelopidas
urn:cts:greekLit:tlg0007.tlg022,urn:cts:greekLit:tlg0007,Plutarch,Marcellus
urn:cts:greekLit:tlg0007.tlg023,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Pelopidas and Marcellus
urn:cts:greekLit:tlg0007.tlg024,urn:cts:greekLit:tlg0007,Plutarch,Aristides
urn:cts:greekLit:tlg0007.tlg025,urn:cts:greekLit:tlg0007,Plutarch,Marcus Cato
urn:cts:greekLit:tlg0007.tlg026,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Aristides and Marcus Cato
urn:cts:greekLit:tlg0007.tlg027,urn:cts:greekLit:tlg0007,Plutarch,Philopoemen
urn:cts:greekLit:tlg0007.tlg028,urn:cts:greekLit:tlg0007,Plutarch,Titus Flamininus
urn:cts:greekLit:tlg0007.tlg029,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Philopoemen and Titus
urn:cts:greekLit:tlg0007.tlg030,urn:cts:greekLit:tlg0007,Plutarch,Pyrrhus
urn:cts:greekLit:tlg0007.tlg031,urn:cts:greekLit:tlg0007,Plutarch,Caius Marius
urn:cts:greekLit:tlg0007.tlg032,urn:cts:greekLit:tlg0007,Plutarch,Lysander
urn:cts:greekLit:tlg0007.tlg033,urn:cts:greekLit:tlg0007,Plutarch,Sulla
urn:cts:greekLit:tlg0007.tlg034,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Lysander and Sulla
urn:cts:greekLit:tlg0007.tlg035,urn:cts:greekLit:tlg0007,Plutarch,Cimon
urn:cts:greekLit:tlg0007.tlg036,urn:cts:greekLit:tlg0007,Plutarch,Lucullus
urn:cts:greekLit:tlg0007.tlg037,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Lucullus and Cimon
urn:cts:greekLit:tlg0007.tlg038,urn:cts:greekLit:tlg0007,Plutarch,Nicias
urn:cts:greekLit:tlg0007.tlg039,urn:cts:greekLit:tlg0007,Plutarch,Crassus
urn:cts:greekLit:tlg0007.tlg040,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Nicias and Crassus
urn:cts:greekLit:tlg0007.tlg041,urn:cts:greekLit:tlg0007,Plutarch,Eumenes
urn:cts:greekLit:tlg0007.tlg042,urn:cts:greekLit:tlg0007,Plutarch,Sertorius
urn:cts:greekLit:tlg0007.tlg043,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Sertorius and Eumenes
urn:cts:greekLit:tlg0007.tlg044,urn:cts:greekLit:tlg0007,Plutarch,Agesilaus
urn:cts:greekLit:tlg0007.tlg045,urn:cts:greekLit:tlg0007,Plutarch,Pompey
urn:cts:greekLit:tlg0007.tlg046,urn:cts:greekLit:tlg0007,Plutarch,Comparison of Agesilaus and Pompey
urn:cts:greekLit:tlg0007.tlg047,urn:cts:greekLit:tlg0007,Plutarch,Alexander
